# Density Viscosity
3.003610832497492833e+00 2.008413336149961204e+00
3.003009027081243953e+00 1.960087895453861195e+00
3.002407221664995074e+00 1.913767659765897688e+00
3.002106318956871078e+00 1.869051588084443827e+00
3.001504513540622199e+00 1.826140200910313149e+00
3.000000000000000000e+00 1.784632457241878356e+00
2.999398194583751120e+00 1.744728877579953208e+00
2.998495486459378245e+00 1.706228941423724166e+00
2.997592778335005370e+00 1.669132648773190564e+00
2.996690070210632051e+00 1.633239479127539528e+00
2.995787362086259176e+00 1.598549432486770172e+00
